artist_id,name,followers_total,popularity,spotify_url
51kyrUsAVqUBcoDEMFkX12,Hindia,8086566,81,https://open.spotify.com/artist/51kyrUsAVqUBcoDEMFkX12
6wD3vtAV0P3gWB9zLs7I4j,Lomba Sihir,256616,61,https://open.spotify.com/artist/6wD3vtAV0P3gWB9zLs7I4j
7Gy1PxqrgsiqWF6JNYPHeB,.Feast,2341929,77,https://open.spotify.com/artist/7Gy1PxqrgsiqWF6JNYPHeB
